TrainNum,TrainType,A_ArrivalTime,A_AvailCap,A_Boarding,B_ArrivalTime,B_AvailCap,B_Boarding,C_ArrivalTime,C_AvailCap,C_Boarding,U_ArrivalTime,U_AvailCap,U_Offloading
1,L8,7:00,400,25,7:11,375,125,7:23,250,250,7:37,0,400
2,L8,7:06,400,0,7:17,400,0,7:29,400,50,7:43,350,50
3,L8,7:14,400,50,7:25,350,100,7:37,250,200,7:51,50,350
4,L4,7:19,200,75,7:30,125,125,7:42,0,0,7:56,0,200
5,L8,7:27,400,100,7:38,300,0,7:50,300,300,8:04,0,400
6,L8,7:37,400,125,7:48,275,150,8:00,125,125,8:14,0,400
7,L8,7:47,400,150,7:58,250,175,8:10,75,75,8:24,0,400
8,L8,7:56,400,0,8:07,400,150,8:19,250,250,8:33,0,400
9,L8,8:06,400,125,8:17,275,125,8:29,150,150,8:43,0,400
10,L8,8:17,400,175,8:28,225,100,8:40,125,125,8:54,0,400
11,L8,8:27,400,50,8:38,350,100,8:50,250,200,9:04,50,350
12,L8,8:45,400,45,8:56,355,150,9:08,205,50,9:22,155,245
13,L8,9:06,400,75,9:17,325,95,9:29,230,95,9:43,135,265
14,L4,9:25,200,55,9:36,145,60,9:48,85,75,10:02,10,190
15,L4,9:38,200,35,9:49,165,20,10:01,145,55,10:15,90,110
16,L4,9:57,200,15,10:08,185,25,10:20,160,0,10:34,160,40
